name,main_color,sub_color
スペシャルウィーク,#EE6DCB,#FFDEF9
サイレンススズカ,#29BD70,#FFCE48
トウカイテイオー,#3376D2,#FF99D0
マルゼンスキー,#EA504A,#FFCD00
フジキセキ,#444745,#33B839
オグリキャップ,#3A7AD2,#ECE7E7
ゴールドシップ,#DA3C57,#E9DA36
ウオッカ,#D4C200,#3DD1D7
ダイワスカーレット,#4F64D8,#E73472
タイキシャトル,#73C032,#FFAC42
グラスワンダー,#3A34AC,#E3493F
ヒシアマゾン,#2185D0,#E6453A
メジロマックイーン,#00B5BE,#DFC8E7
エルコンドルパサー,#DD4E31,#EFDB28
テイエムオペラオー,#F271C4,#FBE415
ナリタブライアン,#75358C,#D638A3
シンボリルドルフ,#1C7763,#C6314B
エアグルーヴ,#0092CB,#FAE053
アグネスデジタル,#F37F96,#F9F189
セイウンスカイ,#65D283,#F4DA40
タマモクロス,#3290D6,#C6DAE7
ファインモーション,#20A95C,#EE5340
ビワハヤヒデ,#B03D81,#E776B6
マヤノトップガン,#F57D38,#FFC845
マンハッタンカフェ,#494541,#E8DD4C
ミホノブルボン,#EE60A1,#F0ED41
メジロライアン,#14BAAE,#7C4D3A
ヒシアケボノ,#208BCD,#FA6F8B
ユキノビジン,#AF7E51,#C8D8EB
ライスシャワー,#384A86,#CA3E6D
アイネスフウジン,#F078C5,#54AE1B
アグネスタキオン,#35B2B6,#E2E868
アドマイヤベガ,#3865A1,#78D5E1
イナリワン,#AE419E,#EC86D0
ウイニングチケット,#DD3D5B,#EDE233
エアシャカール,#2459B4,#E1E000
エイシンフラッシュ,#3D3B3A,#E33067
カレンチャン,#F86669,#47423E
カワカミプリンセス,#E146A7,#00C7B1
ゴールドシチー,#245099,#E63C5C
サクラバクシンオー,#EE6FAB,#F2D4D7
シーキングザパール,#B02D40,#1690D4
シンコウウインディ,#63666A,#6F2678
スイープトウショウ,#926DDA,#BC204B
スーパークリーク,#5693DA,#C8C9C7
スマートファルコン,#F8587B,#403A35
ゼンノロブロイ,#5F9B26,#F3EA5D
トーセンジョーダン,#25B8AE,#1C57B9
ナカヤマフェスタ,#C0453F,#236192
ナリタタイシン,#E575CE,#F3DD6D
ニシノフラワー,#E26ECB,#F6EB61
ハルウララ,#FA7395,#EDE04B
バンブーメモリー,#366965,#2D2926
ビコーペガサス,#E7396F,#D162B8
マーベラスサンデー,#CA46B0,#B52542
マチカネフクキタル,#3D89E9,#F8A717
ミスターシービー,#6FC346,#FBE122
メイショウドトウ,#46449B,#D64388
メジロドーベル,#19B49E,#6F3B42
ナイスネイチャ,#28A959,#B82720
キングヘイロー,#0E9451,#1C57A5
マチカネタンホイザ,#0f8dce,#ee5b56
イクノディクタス,#49b73f,#c6d1d5
メジロパーマー,#27c79c,#865432
ダイタクヘリオス,#5b64d5,#fbe247
ツインターボ,#1985d2,#27b784
サトノダイヤモンド,#94bf01,#f9eb39
キタサンブラック,#5a6065,#fc6d31
サクラチヨノオー,#f9879d,#f7dde2
シリウスシンボリ,#248379,#e3628c
メジロアルダン,#28baa5,#bfe4eb
ヤエノムテキ,#da483a,#ffda93
ツルマルツヨシ,#8F4DAC,#F5CD47
メジロブライト,#45C5C1,#9F5F54
デアリングタクト,#79c6db,#6c5953
サクラローレル,#f0638a,#fecdc9
ナリタトップロード,#ea5bc0,#8f3d7d
ヤマニンゼファー,#5192C1,#AE4544
フリオーソ,#3f54bf,#dd3543
トランセンド,#13a9b0,#f8475f
エスポワールシチー,#d93842,#293aab
ノースフライト,#ca3b61,#32b5d6
シンボリクリスエス,#12762f,#292d45
タニノギムレット,#dab610,#173061
ダイイチルビー,#d2445d,#6946a9
