ID,ウマ娘,グッズ名,入手タイプ,トレーディング,金額,最大数量,備考
1,"アーモンドアイ,フォーエバーヤング",アリーナVIP席特典,特典,FALSE,60000,2,購入上限: 2
2,"アーモンドアイ,フォーエバーヤング",特典グッズセット(SS席),特典,FALSE,40000,2,購入上限: 2
3,"アーモンドアイ,フォーエバーヤング",特典グッズセット(S席),特典,FALSE,27000,2,購入上限: 2
4,"アーモンドアイ,フォーエバーヤング",配信グッズ付きチケット(各1公演グッズ付きチケット・Stagecrowd),販売,FALSE,6800,2,購入上限: 2
5,"アーモンドアイ,フォーエバーヤング",配信グッズ付きチケット(DAY1＋2グッズ付きチケット・Stagecrowd),販売,FALSE,13100,1,購入上限: 1
6,"アーモンドアイ,フォーエバーヤング",配信グッズ付きチケット(各1公演グッズ付きチケット・ZAIKO),販売,FALSE,13000,2,購入上限: 2
7,"アーモンドアイ,フォーエバーヤング",配信グッズ付きチケット(DAY1＋2グッズ付きチケット・ZAIKO),販売,FALSE,18500,1,購入上限: 1
8,トウカイテイオー,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
9,オグリキャップ,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
10,ゴールドシップ,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
11,アグネスデジタル,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
12,タマモクロス,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
13,ファインモーション,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
14,エアシャカール,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
15,エイシンフラッシュ,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
16,トーセンジョーダン,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
17,ナカヤマフェスタ,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
18,メイショウドトウ,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
19,キタサンブラック,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
20,サクラチヨノオー,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
21,デアリングタクト,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
